VM7台稼働
1台の中でメモリ確保のプログラム回した

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 641852 222228   4244 183168    2  168   576   172  114  293  2  1 90  7  0
 0  0 641844 216332   4244 185752    0    0   836     0  340 1007  1  1 98  1  0
 3  0 641844 216320   4252 185672    0    0     0    13  252  631  0  0 99  0  0
 0  0 641844 217328   4252 186408    0    0   233    31  374 1482  1  1 97  1  0
 1  0 641164 160496   4260 186432    0    0     1    27  672  748 21  1 78  0  0
 1  0 640392 120544   4052 178416   23   29    23    43  916  718 25  1 74  0  0
 0  1 644316 152472   2236 118144  259 1565   340  1587 2786 1085 24  2 73  2  0
 1  0 655312 107160   2084 102544  288 3964   288  3964 1895  869 23  1 74  2  0
 0  1 686540 152268    704  40996  277 10689   277 10711 8263 1106 24  2 73  1  0
 1  0 734388 148232    284  19248  488 16305   488 16307 8321 1094 21  2 72  5  0
 3  0 734524 100568    292  19328  559  459   559   463 3942 1048 25  1 72  2  0
 1  1 765544 126884    216  12464  405 10688   968 10693 6311 1108 23  2 67  8  0
 0  2 793516 116252    244  10888  224 9599  1027  9624 2809 1124 20  2 62 17  0
 1  1 797908 105236    956  17492  607 1771  3280  1776 3884 1518 17  2 49 33  0
 1  1 848868 107372    736  14404  288 17220  1292 17237 4838 1292 15  2 51 32  0
 1  2 857300 112256    864  19364  399 3132  2208  3136 6558 1548 22  2 50 27  0
 1  1 907044 105848   1112  25428  247 16841  2544 16841 5951 1428 16  2 51 30  0
 1  1 919952 117340   1224  24456  309 4612  1276  4612 7347 1239 21  2 61 15  0
 1  0 986604 101984   1204  22044  245 22427   289 22441 6258  965 14  2 71 13  0
 1  0 991976 104372   1204  21792  469 2265   660  2271 4972 1026 23  1 73  3  0
 0  2 1108580 118008   1200  20276  288 39153   288 39153 12198 1064 20  3 70  8  0
 0  1 1159084 114988   1212  20088  224 16948   240 16968  788 1244 19  1 32 48  0
 0  1 1232700 144016   1168  18404  320 24809   321 24809 10518 1041 18  3 67 13  0
 1  0 1238768 114640   1160  18180  360 2349   361  2363 4217  978 22  1 73  4  0
 1  2 1251156 113768   1184  17832 1172 4636  1261  4641 5675 1332 24  2 63 11  0
 0  1 1336392 116396   1608  18396  320 28712   793 28745 6382  962 19  2 68 11  0
 2  0 1355424 124544   1468  17676  267 6632   267  6664 2372  836 17  1 73 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 1373684 112588   1136  13716  341 6437   347  6437 4706  918 23  1 74  2  0
 1  5 1547252 119616    988  13132  701 58172   701 58177 4979 1383 15  4 47 35  0
 0  1 1596156 119916    956  13232  309 16487   309 16488 1660 1394 23  2 41 35  0
 1  0 1602364 105812    936  13264  544 2404   555  2409 2406 1015 20  1 72  7  0
 1  1 1642364 123512    212   9096 1799 13836  1799 13836 5460 1913 19  2 59 20  0
 1  0 1663064 111280    220   9568 1395 7444  1395  7448 3641 1648 22  2 65 11  0
 0  2 1765616 115456    224   9396  635 34533   636 34543 4787 1056 21  3 69  6  0
 1  0 1771708 101748    224   9136  248 2243   248  2243  629  824 14  1 70 15  0
 0  3 1818288 130956    232   9428  409 15837   409 15841 6539  938 19  2 72  7  0
 0  3 1846412 140716    240   9084  640 9745   640  9753 5641 1152 20  2 68 11  0
 1  0 1856036 103900    240   9204  412 3553   412  3553 2421  839 22  1 71  6  0
 0  1 1985272 122608    240   9176  201 43265   201 43265 5693  882 12  3 65 20  0
 1  2 2089696 141136    244   9192  239 35077   239 35080 4730  874 17  3 63 17  0
 1  0 2088816 103176    248   9284  333    0   333     5  796 1125 18  1 68 13  0
 0  4 2184996 126644    248   9184  279 32308   292 32308 4876 1391 12  3 60 25  0
