ﾟД ﾟﾊｧ? % vmstat 3                                                                        [ ~]
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3547624  28340 103652    0    0   315     4   71  195  1  4 90  5  0
 0  0      0 3547616  28340 103652    0    0     0     0  142  290  0  0 100  0  0
 0  1      0 3547120  28348 103652    0    0     1    21  154  364  0  0 99  1  0
 2  0      0 3522100  28376 108072    0    0  1456    13  826 1652 11 10 76  3  0
 1  0      0 3259964  28384 135192    0    0  9053    37 1391 7896 16 11 72  1  0
 2 61      0 3113088  28384 185592    0    0 16785     0 1233 5306 10  3 65 23  0
 0 63      0 2895136  28392 302628    0    0 39056     5  414 1902  1  2 10 88  0
 2  2      0 2735504  28392 380744    0    0 26099     3  877 2848  7  2 12 80  0
 0  0      0 2702956  28392 388516    0    0  2435     0 2381 4155 24  2 68  6  0
 0  0      0 2702520  28412 388500    0    0     1   160  179  407  0  0 98  2  0
 0  0      0 2702256  28412 388652    0    0     0     0  168  363  0  0 100  0  0
 1  0      0 2690620  28420 388872    0    0    59     4  424 1186  4  2 94  0  0
 1  0      0 2687360  28420 391840    0    0   907     4  762 1091 12 14 74  1  0
 0  1      0 2347364  28428 425736    0    0 11393    25 1384 10830 19  7 71  3  0
 2 61      0 2237128  28432 493276    0    0 22415   256  637 3289  2  2 43 53  0
 1 61      0 2003020  28436 615748    0    0 40788    24  436 2060  1  2 14 84  0
 3  0      0 1882232  28444 668008    0    0 17455     7 2154 4331 19  2 20 58  0
 0  0      0 1874260  28444 672228    0    0  1320     0 1071 2814 11  1 84  4  0
 0  0      0 1875296  28452 672396    0    0     0   105  203  501  0  0 99  0  0
 0  0      0 1876784  28452 672396    0    0     0     0  181  424  0  0 100  0  0
 1  1      0 1864740  28456 673060    0    0   253     1  475 1276  4  2 93  1  0
 1  0      0 1864212  28456 675680    0    0   712   171  796 1155 12 14 73  1  0
 0  1      0 1525560  28464 711976    0    0 12153    27 1474 10266 19  7 71  4  0
 0 26      0 1391072  28464 793232    0    0 27041    13  673 3587  2  2 36 59  0
 0 39      0 1130624  28472 926132    0    0 44336    20  460 1864  1  2 19 79  0
 1  0      0 1065468  28472 951712    0    0  8511    49 2422 4830 25  2 35 37  0
 0  0      0 1053408  28472 955912    0    0  1335     0  566 1971  5  1 89  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1055280  28480 956044    0    0     0    97  203  507  0  1 99  1  0
 1  0      0 1032972  28480 958916    0    0   965     0  523 1605  6  3 90  1  0
